Correct,Wrong,Tie,Percent,week
13,3,0,0.8125,1
10,6,0,0.625,1
9,7,0,0.5625,1
11,5,0,0.6875,1
11,5,0,0.6875,1
9,7,0,0.5625,1
12,4,0,0.75,1
13,3,0,0.8125,1
24,8,0,0.75,2
21,11,0,0.65625,2
22,10,0,0.6875,2
24,8,0,0.75,2
26,6,0,0.8125,2
22,10,0,0.6875,2
22,10,0,0.6875,2
26,6,0,0.8125,2
37,11,0,0.7708333333333334,3
31,17,0,0.6458333333333334,3
32,16,0,0.6666666666666666,3
35,13,0,0.7291666666666666,3
37,11,0,0.7708333333333334,3
32,16,0,0.6666666666666666,3
33,15,0,0.6875,3
37,11,0,0.7708333333333334,3
49,14,1,0.765625,4
41,22,1,0.640625,4
41,22,1,0.640625,4
46,17,1,0.71875,4
45,18,1,0.703125,4
41,22,1,0.640625,4
42,21,1,0.65625,4
46,17,1,0.71875,4
57,20,1,0.7307692307692307,5
47,30,1,0.6025641025641025,5
46,31,1,0.5897435897435898,5
52,25,1,0.6666666666666666,5
48,29,1,0.6153846153846154,5
47,30,1,0.6025641025641025,5
47,30,1,0.6025641025641025,5
50,27,1,0.6410256410256411,5
66,26,1,0.7096774193548387,6
56,36,1,0.6021505376344086,6
55,37,1,0.5913978494623656,6
62,30,1,0.6666666666666666,6
57,35,1,0.6129032258064516,6
57,35,1,0.6129032258064516,6
57,35,1,0.6129032258064516,6
61,31,1,0.6559139784946236,6
