Record,Correct,Wrong,Percent,week
11-5,11,5,0.6875,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
11-5,11,5,0.6875,1
12-4,12,4,0.75,1
12-4,12,4,0.75,1
22-10,22,10,0.6875,2
21-11,21,11,0.65625,2
22-10,22,10,0.6875,2
23-9,23,9,0.71875,2
21-11,21,11,0.65625,2
23-9,23,9,0.71875,2
21-11,21,11,0.65625,2
23-9,23,9,0.71875,2
20-12,20,12,0.625,2
25-7,25,7,0.78125,2
23-9,23,9,0.71875,2
32-16,32,16,0.6666666666666666,3
32-16,32,16,0.6666666666666666,3
35-13,35,13,0.7291666666666666,3
33-15,33,15,0.6875,3
28-20,28,20,0.5833333333333334,3
34-14,34,14,0.7083333333333334,3
32-16,32,16,0.6666666666666666,3
33-15,33,15,0.6875,3
29-19,29,19,0.6041666666666666,3
34-14,34,14,0.7083333333333334,3
31-17,31,17,0.6458333333333334,3
