TM1,Score1,vs,TM2,Score2,week
KC,27,-,BAL,20,1
PHI,34,-,GB,29,1
BUF,34,-,ARI,28,1
NO,47,-,CAR,10,1
HOU,29,-,IND,27,1
MIA,20,-,JAC,17,1
MIN,28,-,NYG,6,1
NE,16,-,CIN,10,1
PIT,18,-,ATL,10,1
CHI,24,-,TEN,17,1
SEA,26,-,DEN,20,1
LAC,22,-,LV,10,1
DAL,33,-,CLE,17,1
TB,37,-,WAS,20,1
DET,26,-,LAR,20,1
SF,32,-,NYJ,19,1
BUF,31,-,MIA,10,2
GB,16,-,IND,10,2
CLE,18,-,JAC,13,2
LAC,26,-,CAR,3,2
LV,26,-,BAL,23,2
NO,44,-,DAL,19,2
WAS,21,-,NYG,18,2
NYJ,24,-,TEN,17,2
SEA,23,-,NE,20,2
MIN,23,-,SF,17,2
TB,20,-,DET,16,2
ARI,41,-,LAR,10,2
KC,26,-,CIN,25,2
PIT,13,-,DEN,6,2
HOU,19,-,CHI,13,2
ATL,22,-,PHI,21,2
