Correct,Wrong,Tie,Percent,week
13,3,0,0.8125,1
10,6,0,0.625,1
9,7,0,0.5625,1
11,5,0,0.6875,1
11,5,0,0.6875,1
9,7,0,0.5625,1
12,4,0,0.75,1
13,3,0,0.8125,1
11,5,0,0.6875,2
11,5,0,0.6875,2
13,3,0,0.8125,2
13,3,0,0.8125,2
15,1,0,0.9375,2
13,3,0,0.8125,2
10,6,0,0.625,2
13,3,0,0.8125,2
13,3,0,0.8125,3
10,6,0,0.625,3
10,6,0,0.625,3
11,5,0,0.6875,3
11,5,0,0.6875,3
10,6,0,0.625,3
11,5,0,0.6875,3
11,5,0,0.6875,3
12,3,1,0.75,4
10,5,1,0.625,4
9,6,1,0.5625,4
11,4,1,0.6875,4
8,7,1,0.5,4
9,6,1,0.5625,4
9,6,1,0.5625,4
9,6,1,0.5625,4
8,6,0,0.5714285714285714,5
6,8,0,0.42857142857142855,5
5,9,0,0.35714285714285715,5
6,8,0,0.42857142857142855,5
3,11,0,0.21428571428571427,5
6,8,0,0.42857142857142855,5
5,9,0,0.35714285714285715,5
4,10,0,0.2857142857142857,5
