Correct,Wrong,Tie,Percent,week
13,3,0,0.8125,1
10,6,0,0.625,1
9,7,0,0.5625,1
11,5,0,0.6875,1
11,5,0,0.6875,1
9,7,0,0.5625,1
12,4,0,0.75,1
13,3,0,0.8125,1
24,8,0,0.75,2
21,11,0,0.65625,2
22,10,0,0.6875,2
24,8,0,0.75,2
26,6,0,0.8125,2
22,10,0,0.6875,2
22,10,0,0.6875,2
26,6,0,0.8125,2
37,11,0,0.7708333333333334,3
31,17,0,0.6458333333333334,3
32,16,0,0.6666666666666666,3
35,13,0,0.7291666666666666,3
37,11,0,0.7708333333333334,3
32,16,0,0.6666666666666666,3
33,15,0,0.6875,3
37,11,0,0.7708333333333334,3
49,14,1,0.765625,4
41,22,1,0.640625,4
41,22,1,0.640625,4
46,17,1,0.71875,4
45,18,1,0.703125,4
41,22,1,0.640625,4
42,21,1,0.65625,4
46,17,1,0.71875,4
57,20,1,0.7307692307692307,5
47,30,1,0.6025641025641025,5
46,31,1,0.5897435897435898,5
52,25,1,0.6666666666666666,5
48,29,1,0.6153846153846154,5
47,30,1,0.6025641025641025,5
47,30,1,0.6025641025641025,5
50,27,1,0.6410256410256411,5
66,26,1,0.7096774193548387,6
56,36,1,0.6021505376344086,6
55,37,1,0.5913978494623656,6
62,30,1,0.6666666666666666,6
57,35,1,0.6129032258064516,6
57,35,1,0.6129032258064516,6
57,35,1,0.6129032258064516,6
61,31,1,0.6559139784946236,6
76,31,1,0.7037037037037037,7
68,39,1,0.6296296296296297,7
66,41,1,0.6111111111111112,7
75,32,1,0.6944444444444444,7
70,37,1,0.6481481481481481,7
67,40,1,0.6203703703703703,7
69,38,1,0.6388888888888888,7
73,34,1,0.6759259259259259,7
86,34,1,0.7107438016528925,8
76,44,1,0.628099173553719,8
76,44,1,0.628099173553719,8
84,36,1,0.6942148760330579,8
78,42,1,0.6446280991735537,8
74,46,1,0.6115702479338843,8
77,43,1,0.6363636363636364,8
82,38,1,0.6776859504132231,8
92,42,1,0.6814814814814815,9
84,50,1,0.6222222222222222,9
84,50,1,0.6222222222222222,9
94,40,1,0.6962962962962963,9
86,48,1,0.6370370370370371,9
83,51,1,0.6148148148148148,9
86,48,1,0.6370370370370371,9
90,44,1,0.6666666666666666,9
100,48,1,0.6711409395973155,10
93,55,1,0.6241610738255033,10
93,55,1,0.6241610738255033,10
102,46,1,0.6845637583892618,10
94,54,1,0.6308724832214765,10
94,54,1,0.6308724832214765,10
94,54,1,0.6308724832214765,10
100,48,1,0.6711409395973155,10
110,53,1,0.6707317073170732,11
106,57,1,0.6463414634146342,11
104,59,1,0.6341463414634146,11
112,51,1,0.6829268292682927,11
103,60,1,0.6280487804878049,11
102,61,1,0.6219512195121951,11
106,57,1,0.6463414634146342,11
111,52,1,0.676829268292683,11
