Record,Correct,Wrong,Percent,week
13-3,13,3,0.8125,1
15-1,15,1,0.9375,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
8-8,8,8,0.5,1
9-7,9,7,0.5625,1
12-4,12,4,0.75,1
13-3,13,3,0.8125,1
13-3,13,3,0.8125,1
9-7,9,7,0.5625,1
6-8,6,8,0.42857142857142855,2
7-8,7,8,0.4666666666666667,2
7-8,7,8,0.4666666666666667,2
10-5,10,5,0.6666666666666666,2
7-8,7,8,0.4666666666666667,2
5-10,5,10,0.3333333333333333,2
8-7,8,7,0.5333333333333333,2
8-7,8,7,0.5333333333333333,2
6-9,6,9,0.4,2
8-7,8,7,0.5333333333333333,2
5-10,5,10,0.3333333333333333,2
