TM1,Score1,vs,TM2,Score2,week
PHI,24,-,DAL,20,1
LAC,27,-,KC,21,1
ARI,20,-,NO,13,1
JAC,26,-,CAR,10,1
CIN,17,-,CLE,16,1
LV,20,-,NE,13,1
IND,33,-,MIA,8,1
WAS,21,-,NYG,6,1
PIT,34,-,NYJ,32,1
TB,23,-,ATL,20,1
SF,17,-,SEA,13,1
DEN,20,-,TEN,12,1
GB,27,-,DET,13,1
LAR,14,-,HOU,9,1
BUF,41,-,BAL,40,1
MIN,27,-,CHI,24,1
GB,27,-,WAS,18,2
BUF,30,-,NYJ,10,2
DET,52,-,CHI,21,2
BAL,41,-,CLE,17,2
CIN,31,-,JAC,27,2
LAR,33,-,TEN,19,2
NE,33,-,MIA,27,2
DAL,40,-,NYG,37,2
SEA,31,-,PIT,17,2
SF,26,-,NO,21,2
ARI,27,-,CAR,22,2
IND,29,-,DEN,28,2
PHI,20,-,KC,17,2
ATL,22,-,MIN,6,2
TB,20,-,HOU,19,2
LAC,20,-,LV,9,2
BUF,31,-,MIA,21,3
CAR,30,-,ATL,0,3
MIN,48,-,CIN,10,3
CLE,13,-,GB,10,3
JAC,17,-,HOU,10,3
IND,41,-,TEN,20,3
PHI,33,-,LAR,26,3
WAS,41,-,LV,24,3
TB,29,-,NYJ,27,3
PIT,21,-,NE,14,3
LAC,23,-,DEN,20,3
SEA,44,-,NO,13,3
SF,16,-,ARI,15,3
CHI,31,-,DAL,14,3
KC,22,-,NYG,9,3
DET,38,-,BAL,30,3
SEA,23,-,ARI,20,4
PIT,24,-,MIN,21,4
DET,34,-,CLE,10,4
NE,42,-,CAR,13,4
NYG,21,-,LAC,18,4
BUF,31,-,NO,19,4
PHI,31,-,TB,25,4
HOU,26,-,TEN,0,4
ATL,34,-,WAS,27,4
JAC,26,-,SF,21,4
LAR,27,-,IND,20,4
KC,37,-,BAL,20,4
CHI,25,-,LV,24,4
GB,40,-,DAL,40,4
MIA,27,-,NYJ,21,4
DEN,28,-,CIN,3,4
SF,26,-,LAR,23,5
MIN,21,-,CLE,17,5
DAL,37,-,NYJ,22,5
DEN,21,-,PHI,17,5
HOU,44,-,BAL,10,5
IND,40,-,LV,6,5
CAR,27,-,MIA,24,5
NO,26,-,NYG,14,5
TB,38,-,SEA,35,5
TEN,22,-,ARI,21,5
DET,37,-,CIN,24,5
WAS,27,-,LAC,10,5
NE,23,-,BUF,20,5
JAC,31,-,KC,28,5
NYG,34,-,PHI,17,6
DEN,13,-,NYJ,11,6
IND,31,-,ARI,27,6
PIT,23,-,CLE,9,6
CAR,30,-,DAL,27,6
LAC,29,-,MIA,27,6
LAR,17,-,BAL,3,6
NE,25,-,NO,19,6
SEA,20,-,JAC,12,6
LV,20,-,TEN,10,6
GB,27,-,CIN,18,6
TB,30,-,SF,19,6
KC,30,-,DET,17,6
ATL,24,-,BUF,14,6
CHI,25,-,WAS,24,6
CIN,33,-,PIT,31,7
LAR,35,-,JAC,7,7
KC,31,-,LV,0,7
CAR,13,-,NYJ,6,7
CLE,31,-,MIA,6,7
NE,31,-,TEN,13,7
CHI,26,-,NO,14,7
PHI,28,-,MIN,22,7
DEN,33,-,NYG,32,7
IND,38,-,LAC,24,7
GB,27,-,ARI,23,7
